https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume NEO
1610323200000,2021-01-11 00:00:00,NEO/USD,25.001,26.714,20.356,23.728,10398053.268717302,438218.69810845
1610236800000,2021-01-10 00:00:00,NEO/USD,21.349,26.599,20.2,24.955,7008582.712251947,280848.83639559
1610150400000,2021-01-09 00:00:00,NEO/USD,19.7578148,21.667,18.974,21.35,2317689.0502705416,108556.86418129
1610064000000,2021-01-08 00:00:00,NEO/USD,20.891,21.41,18.594,19.771,2016623.2725098215,101999.05277982
1609977600000,2021-01-07 00:00:00,NEO/USD,19.547,23.0,18.659,20.852,6320411.487421151,303108.16647905
1609891200000,2021-01-06 00:00:00,NEO/USD,16.919,20.287,16.4,19.525,3591213.6831446476,183928.99785632
1609804800000,2021-01-05 00:00:00,NEO/USD,16.36,17.327,15.391,16.844,921387.0414181246,54701.20169901
1609718400000,2021-01-04 00:00:00,NEO/USD,16.045,17.75568181,14.675,16.328,2046797.0910762243,125355.03987483
1609632000000,2021-01-03 00:00:00,NEO/USD,14.426,16.344,14.014,16.056,1344200.643243625,83719.52187616
1609545600000,2021-01-02 00:00:00,NEO/USD,14.459,14.778,14.13,14.419,535668.4159782765,37150.17795813
1609459200000,2021-01-01 00:00:00,NEO/USD,14.253,14.889,14.13,14.45,239721.50823807498,16589.7237535
1609372800000,2020-12-31 00:00:00,NEO/USD,14.712,14.719,13.882,14.303,477669.07898189535,33396.42585345
1609286400000,2020-12-30 00:00:00,NEO/USD,15.036,15.181,14.51891819,14.706,158094.68536854142,10750.35260224
1609200000000,2020-12-29 00:00:00,NEO/USD,15.606,15.9,14.4,15.031,657798.0505671267,43762.76033312
1609113600000,2020-12-28 00:00:00,NEO/USD,15.176,16.264,15.046,15.616,664350.9118119193,42542.96310271
1609027200000,2020-12-27 00:00:00,NEO/USD,14.931,15.899,14.111,15.116,919529.0717022456,60831.5077866
1608940800000,2020-12-26 00:00:00,NEO/USD,15.189,15.449,14.227,14.923,552279.5039483544,37008.61113371
1608854400000,2020-12-25 00:00:00,NEO/USD,15.278,15.887,14.63,15.18,648579.981946182,42725.9540149
1608768000000,2020-12-24 00:00:00,NEO/USD,13.428,15.299,13.092,15.28,880647.4140411456,57633.99306552
1608681600000,2020-12-23 00:00:00,NEO/USD,16.53,16.631,12.2,13.523,1881461.026688025,139130.44640154
1608595200000,2020-12-22 00:00:00,NEO/USD,16.54,16.912,15.699,16.521,507143.7804484645,30696.91788926
1608508800000,2020-12-21 00:00:00,NEO/USD,17.505,17.797,15.955,16.527,1039360.6484834531,62888.64576048
1608422400000,2020-12-20 00:00:00,NEO/USD,17.818,18.47,17.028,17.522,762162.1642196388,43497.44117222
1608336000000,2020-12-19 00:00:00,NEO/USD,17.917,18.45,17.628,17.81,353467.8024515781,19846.59194001
1608249600000,2020-12-18 00:00:00,NEO/USD,17.733,18.31,17.343,17.925,362904.29423297703,20245.70679124
1608163200000,2020-12-17 00:00:00,NEO/USD,18.014,18.712,17.401,17.749,1328878.535081622,74870.61440541
1608076800000,2020-12-16 00:00:00,NEO/USD,17.143,18.016,16.677,18.016,516015.12238186365,28642.04720148
1607990400000,2020-12-15 00:00:00,NEO/USD,17.394,17.561,16.681,17.137,303473.522369335,17708.67260135
1607904000000,2020-12-14 00:00:00,NEO/USD,17.273,17.676,16.953,17.39,324886.9735243159,18682.40215781
1607817600000,2020-12-13 00:00:00,NEO/USD,16.484,17.773,16.412,17.275,470612.38421699347,27242.39561314
1607731200000,2020-12-12 00:00:00,NEO/USD,15.935,16.664,15.894,16.471,226218.8762785943,13734.37412899
1607644800000,2020-12-11 00:00:00,NEO/USD,16.276,16.304,15.508,15.954,272843.6223469457,17101.89434292
1607558400000,2020-12-10 00:00:00,NEO/USD,16.907,16.941,16.021,16.276,296781.95908161736,18234.33024586
1607472000000,2020-12-09 00:00:00,NEO/USD,16.46,17.282,15.717,16.891,988364.3658672525,58514.26001227
1607385600000,2020-12-08 00:00:00,NEO/USD,17.473,17.549,16.111,16.432,506491.0682876491,30823.45839141
1607299200000,2020-12-07 00:00:00,NEO/USD,17.942,17.942,17.217,17.458,214805.64989598902,12304.13849788
1607212800000,2020-12-06 00:00:00,NEO/USD,17.96,18.118,17.523,17.917,188499.6296170378,10520.71382581
1607126400000,2020-12-05 00:00:00,NEO/USD,17.308,17.997,16.956,17.962,221684.49233510133,12341.86016786
1607040000000,2020-12-04 00:00:00,NEO/USD,18.839,19.043,17.036,17.306,748289.7314228241,43238.745604
1606953600000,2020-12-03 00:00:00,NEO/USD,18.021,19.223,17.847,18.846,538042.4031657198,28549.42179591
1606867200000,2020-12-02 00:00:00,NEO/USD,17.536,18.489,17.3,18.034,436855.76057623356,24224.00801687
1606780800000,2020-12-01 00:00:00,NEO/USD,18.623,19.357,17.1,17.561,1928375.221273852,109810.10314184
1606694400000,2020-11-30 00:00:00,NEO/USD,17.763,18.842,17.322,18.542,1393731.4012040205,75166.18494251
1606608000000,2020-11-29 00:00:00,NEO/USD,17.553,18.0,16.916,17.699,476849.1743961487,26942.15347738
1606521600000,2020-11-28 00:00:00,NEO/USD,17.142,18.065,16.607,17.567,561280.6800713569,31950.85558555
1606435200000,2020-11-27 00:00:00,NEO/USD,17.23195046,17.735,16.251,17.108,515361.92924611666,30124.03140321
1606348800000,2020-11-26 00:00:00,NEO/USD,19.672,20.422,15.973,17.206,1956044.9481516534,113683.88632754
1606262400000,2020-11-25 00:00:00,NEO/USD,20.484,21.818,18.7,19.602,1860854.8751697207,94931.88833638
1606176000000,2020-11-24 00:00:00,NEO/USD,19.083,21.304,18.291,20.515,3208624.843883965,156403.843231
1606089600000,2020-11-23 00:00:00,NEO/USD,17.183,19.119,16.934,19.115,1333328.5688787787,69752.99863347
1606003200000,2020-11-22 00:00:00,NEO/USD,18.258,18.571,16.446,17.134,1332700.1223258495,77781.02733313
1605916800000,2020-11-21 00:00:00,NEO/USD,16.45,18.333,16.45,18.247,1324551.4836018418,72590.09610357
1605830400000,2020-11-20 00:00:00,NEO/USD,16.088,16.848,16.088,16.45,888722.3562008854,54025.67514899
1605744000000,2020-11-19 00:00:00,NEO/USD,15.728,16.25,15.386,16.073,302483.8623405288,18819.37798423
1605657600000,2020-11-18 00:00:00,NEO/USD,16.168,16.32,15.215,15.751,611559.4707040029,38826.70755533
1605571200000,2020-11-17 00:00:00,NEO/USD,15.729,16.688,15.686,16.141,708764.6419643377,43910.82596892
1605484800000,2020-11-16 00:00:00,NEO/USD,15.313,15.909,15.157,15.732,226844.69247543634,14419.31683673
1605398400000,2020-11-15 00:00:00,NEO/USD,15.677,15.951,15.001,15.319,326800.1386032424,21332.9942296
1605312000000,2020-11-14 00:00:00,NEO/USD,16.009,16.262,15.387,15.703,238524.68940711708,15189.7528757
1605225600000,2020-11-13 00:00:00,NEO/USD,15.43,16.14,15.395,16.009,294932.19442079414,18422.89927046
1605139200000,2020-11-12 00:00:00,NEO/USD,15.422,16.025,15.217,15.432,257151.87181085162,16663.54794005
1605052800000,2020-11-11 00:00:00,NEO/USD,15.611,15.987,15.386,15.386,223255.87379227762,14510.32586717
1604966400000,2020-11-10 00:00:00,NEO/USD,15.372,15.829,15.129,15.554,170627.69294321368,10970.02011979
1604880000000,2020-11-09 00:00:00,NEO/USD,15.48,15.584,14.861,15.386,238253.19136000675,15485.06378266
1604793600000,2020-11-08 00:00:00,NEO/USD,14.855,15.716,14.714,15.486,242518.06687196324,15660.47183727
1604707200000,2020-11-07 00:00:00,NEO/USD,15.741,16.61,14.602,14.875,862914.1635816537,58011.03620717
1604620800000,2020-11-06 00:00:00,NEO/USD,14.418,15.978,14.314,15.72,742626.9289369847,47240.89878734
1604534400000,2020-11-05 00:00:00,NEO/USD,14.12,14.63673079,13.826,14.395,455659.0064411378,31653.97752283
1604448000000,2020-11-04 00:00:00,NEO/USD,14.691,14.737,13.477,14.08,494978.03689157125,35154.69012014
1604361600000,2020-11-03 00:00:00,NEO/USD,15.207,15.488,14.132,14.688,430009.8815887661,29276.27189466
1604275200000,2020-11-02 00:00:00,NEO/USD,14.956,15.793,14.956,15.244,399695.5389314192,26219.8595468
1604188800000,2020-11-01 00:00:00,NEO/USD,14.71,15.062,14.552,14.927,207395.46370921005,13893.98162452
1604102400000,2020-10-31 00:00:00,NEO/USD,14.823,15.207,14.586,14.712,368531.0164266734,25049.68844662
1604016000000,2020-10-30 00:00:00,NEO/USD,15.277,15.464,13.961,14.809,598537.6201124756,40417.15309018
1603929600000,2020-10-29 00:00:00,NEO/USD,15.873,16.075,14.985,15.286,413412.67024050566,27045.18318988
