https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USD
1482451200,2016-12-23 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1482364800,2016-12-22 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1482278400,2016-12-21 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1482192000,2016-12-20 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1482105600,2016-12-19 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1482019200,2016-12-18 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1481932800,2016-12-17 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1481846400,2016-12-16 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1481760000,2016-12-15 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1481673600,2016-12-14 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1481587200,2016-12-13 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1481500800,2016-12-12 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1481414400,2016-12-11 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1481328000,2016-12-10 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1481241600,2016-12-09 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1481155200,2016-12-08 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1481068800,2016-12-07 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1480982400,2016-12-06 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1480896000,2016-12-05 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1480809600,2016-12-04 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1480723200,2016-12-03 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1480636800,2016-12-02 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1480550400,2016-12-01 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1480464000,2016-11-30 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1480377600,2016-11-29 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1480291200,2016-11-28 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1480204800,2016-11-27 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1480118400,2016-11-26 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1480032000,2016-11-25 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1479945600,2016-11-24 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1479859200,2016-11-23 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1479772800,2016-11-22 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1479686400,2016-11-21 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
