https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTUM
1578614400,2020-01-10 00:00:00,QTUM/USD,1.626,1.727,1.605,1.727,7176.82,4314.23
1578528000,2020-01-09 00:00:00,QTUM/USD,1.67,1.68,1.62,1.626,4657.63,2820.34
1578441600,2020-01-08 00:00:00,QTUM/USD,1.713,1.759,1.667,1.67,4874.36,2852.89
1578355200,2020-01-07 00:00:00,QTUM/USD,1.73,1.745,1.677,1.713,2802.8,1634.34
1578268800,2020-01-06 00:00:00,QTUM/USD,1.629,1.73,1.629,1.73,7133.41,4205.18
1578182400,2020-01-05 00:00:00,QTUM/USD,1.655,1.673,1.62,1.629,8531.17,5217.68
1578096000,2020-01-04 00:00:00,QTUM/USD,1.627,1.654,1.606,1.641,3141.39,1913.7
1578009600,2020-01-03 00:00:00,QTUM/USD,1.543,1.638,1.53,1.627,1503.45,949.04
1577923200,2020-01-02 00:00:00,QTUM/USD,1.612,1.612,1.538,1.543,5862.8,3730.73
1577836800,2020-01-01 00:00:00,QTUM/USD,1.615,1.622,1.61,1.612,3272.15,2019.85
1577750400,2019-12-31 00:00:00,QTUM/USD,1.636,1.636,1.599,1.615,3337.93,2077.06
1577664000,2019-12-30 00:00:00,QTUM/USD,1.674,1.675,1.616,1.636,5256.88,3176.79
1577577600,2019-12-29 00:00:00,QTUM/USD,1.626,1.693,1.613,1.674,1792.42,1078.27
1577491200,2019-12-28 00:00:00,QTUM/USD,1.649,1.66,1.627,1.627,4180.89,2545.91
1577404800,2019-12-27 00:00:00,QTUM/USD,1.59,1.649,1.571,1.649,1838.62,1125.31
1577318400,2019-12-26 00:00:00,QTUM/USD,1.649,1.649,1.57,1.59,2574.5,1598.9
1577232000,2019-12-25 00:00:00,QTUM/USD,1.597,1.649,1.572,1.649,4537.9,2800.76
1577145600,2019-12-24 00:00:00,QTUM/USD,1.62,1.649,1.583,1.597,3883.15,2401.05
1577059200,2019-12-23 00:00:00,QTUM/USD,1.681,1.7,1.601,1.62,3454.31,2106.23
1576972800,2019-12-22 00:00:00,QTUM/USD,1.621,1.693,1.621,1.681,4139.11,2492.68
1576886400,2019-12-21 00:00:00,QTUM/USD,1.65,1.68,1.57,1.625,5746.97,3551.85
1576800000,2019-12-20 00:00:00,QTUM/USD,1.647,1.709,1.635,1.65,2702.61,1606.67
1576713600,2019-12-19 00:00:00,QTUM/USD,1.675,1.678,1.585,1.647,3601.88,2198.31
1576627200,2019-12-18 00:00:00,QTUM/USD,1.52,1.769,1.5,1.675,4250.24,2697.23
1576540800,2019-12-17 00:00:00,QTUM/USD,1.669,1.669,1.502,1.52,16620.58,10433.29
1576454400,2019-12-16 00:00:00,QTUM/USD,1.769,1.769,1.658,1.669,1266.53,744.07
1576368000,2019-12-15 00:00:00,QTUM/USD,1.758,1.775,1.709,1.769,3274.98,1885.8
1576281600,2019-12-14 00:00:00,QTUM/USD,1.871,1.873,1.761,1.769,5376.47,2954.69
1576195200,2019-12-13 00:00:00,QTUM/USD,1.798,1.951,1.787,1.871,12390.67,6615.92
1576108800,2019-12-12 00:00:00,QTUM/USD,1.745,1.818,1.659,1.818,5205.03,2996.6
1576022400,2019-12-11 00:00:00,QTUM/USD,1.748,1.76,1.717,1.745,800.04,461.89
1575936000,2019-12-10 00:00:00,QTUM/USD,1.742,1.765,1.697,1.748,928.53,538.86
1575849600,2019-12-09 00:00:00,QTUM/USD,1.75,1.799,1.671,1.742,7206.52,4127.46
1575763200,2019-12-08 00:00:00,QTUM/USD,1.75,1.769,1.73,1.75,6115.05,3494.3
1575676800,2019-12-07 00:00:00,QTUM/USD,1.765,1.782,1.736,1.75,8627.93,4904.98
1575590400,2019-12-06 00:00:00,QTUM/USD,1.732,1.766,1.72,1.765,3081.77,1760.03
1575504000,2019-12-05 00:00:00,QTUM/USD,1.728,1.751,1.686,1.749,3268.72,1906.71
1575417600,2019-12-04 00:00:00,QTUM/USD,1.751,1.784,1.682,1.728,1193.08,692.59
1575331200,2019-12-03 00:00:00,QTUM/USD,1.767,1.788,1.708,1.751,5362.44,3034.39
1575244800,2019-12-02 00:00:00,QTUM/USD,1.8,1.804,1.733,1.767,7913.15,4495.59
1575158400,2019-12-01 00:00:00,QTUM/USD,1.797,1.818,1.737,1.8,5661.12,3170.62
1575072000,2019-11-30 00:00:00,QTUM/USD,1.878,1.897,1.741,1.797,4227.04,2362.33
1574985600,2019-11-29 00:00:00,QTUM/USD,1.815,1.921,1.815,1.878,6651.08,3556.94
1574899200,2019-11-28 00:00:00,QTUM/USD,1.724,1.927,1.724,1.797,5613.95,3059.33
1574812800,2019-11-27 00:00:00,QTUM/USD,1.674,1.745,1.574,1.724,9858.46,5876.2
1574726400,2019-11-26 00:00:00,QTUM/USD,1.641,1.94,1.623,1.674,9151.52,5458.93
1574640000,2019-11-25 00:00:00,QTUM/USD,1.612,1.715,1.487,1.641,10503.61,6500.18
1574553600,2019-11-24 00:00:00,QTUM/USD,1.749,1.749,1.508,1.612,7258.92,4449.6
1574467200,2019-11-23 00:00:00,QTUM/USD,1.668,1.752,1.634,1.749,6232.44,3650.16
1574380800,2019-11-22 00:00:00,QTUM/USD,1.793,1.811,1.508,1.668,19417.27,11660.92
1574294400,2019-11-21 00:00:00,QTUM/USD,1.898,1.898,1.667,1.785,14250.29,8039.87
1574208000,2019-11-20 00:00:00,QTUM/USD,1.923,1.97,1.872,1.898,11167.69,5759.57
1574121600,2019-11-19 00:00:00,QTUM/USD,1.984,1.984,1.863,1.923,9312.93,4942.16
1574035200,2019-11-18 00:00:00,QTUM/USD,2.145,2.145,1.83,1.984,18579.39,9248.1
1573948800,2019-11-17 00:00:00,QTUM/USD,2.143,2.178,2.124,2.145,613.43,283.98
1573862400,2019-11-16 00:00:00,QTUM/USD,2.142,2.184,2.1,2.143,6063.96,2810.82
1573776000,2019-11-15 00:00:00,QTUM/USD,2.307,2.346,2.131,2.142,13276.69,6102.46
1573689600,2019-11-14 00:00:00,QTUM/USD,2.27,2.378,2.215,2.31,27548.97,12112.35
1573603200,2019-11-13 00:00:00,QTUM/USD,2.228,2.308,2.188,2.27,19730.96,8684.67
1573516800,2019-11-12 00:00:00,QTUM/USD,2.101,2.23,2.101,2.228,5046.16,2319.84
1573430400,2019-11-11 00:00:00,QTUM/USD,2.29,2.29,2.032,2.101,5467.18,2590.03
1573344000,2019-11-10 00:00:00,QTUM/USD,2.128,2.375,2.121,2.29,11005.75,5033.02
1573257600,2019-11-09 00:00:00,QTUM/USD,2.164,2.164,2.058,2.128,5263.51,2487.67
1573171200,2019-11-08 00:00:00,QTUM/USD,2.217,2.217,2.08,2.164,4066.38,1895.51
1573084800,2019-11-07 00:00:00,QTUM/USD,2.277,2.299,2.155,2.214,3231.11,1456.33
1572998400,2019-11-06 00:00:00,QTUM/USD,2.263,2.33,2.253,2.277,4026.79,1747.98
1572912000,2019-11-05 00:00:00,QTUM/USD,2.252,2.279,2.173,2.263,4291.08,1912.54
1572825600,2019-11-04 00:00:00,QTUM/USD,2.124,2.3,2.088,2.252,12662.62,5668.24
1572739200,2019-11-03 00:00:00,QTUM/USD,2.202,2.202,2.102,2.124,2125.29,1002.88
1572652800,2019-11-02 00:00:00,QTUM/USD,2.152,2.287,2.15,2.202,2036.1,924.3
1572566400,2019-11-01 00:00:00,QTUM/USD,2.113,2.188,2.113,2.152,183.26,85.98
1572480000,2019-10-31 00:00:00,QTUM/USD,2.188,2.274,2.081,2.099,2764.92,1301.79
1572393600,2019-10-30 00:00:00,QTUM/USD,2.301,2.353,2.112,2.188,12053.91,5543.6
1572307200,2019-10-29 00:00:00,QTUM/USD,2.351,2.385,2.2,2.301,18102.54,7908.12
1572220800,2019-10-28 00:00:00,QTUM/USD,2.281,2.75,2.246,2.351,44845.75,17747.99
1572134400,2019-10-27 00:00:00,QTUM/USD,1.836,2.421,1.798,2.281,40114.97,18443.7
1572048000,2019-10-26 00:00:00,QTUM/USD,1.768,1.921,1.76,1.836,11187.35,6049.84
1571961600,2019-10-25 00:00:00,QTUM/USD,1.614,1.801,1.582,1.768,17551.17,10352.2
1571875200,2019-10-24 00:00:00,QTUM/USD,1.549,1.618,1.536,1.614,1940.92,1230.63
1571788800,2019-10-23 00:00:00,QTUM/USD,1.684,1.684,1.537,1.549,21709.42,13828.91
1571702400,2019-10-22 00:00:00,QTUM/USD,1.705,1.72,1.684,1.684,2438.44,1433.67
1571616000,2019-10-21 00:00:00,QTUM/USD,1.74,1.74,1.695,1.705,1870.2,1096.23
1571529600,2019-10-20 00:00:00,QTUM/USD,1.687,1.74,1.673,1.74,1739.21,1005.68
1571443200,2019-10-19 00:00:00,QTUM/USD,1.701,1.712,1.679,1.687,1526.48,899.29
1571356800,2019-10-18 00:00:00,QTUM/USD,1.757,1.757,1.67,1.701,4382.85,2587.71
1571270400,2019-10-17 00:00:00,QTUM/USD,1.673,1.766,1.665,1.757,2985.24,1718.64
1571184000,2019-10-16 00:00:00,QTUM/USD,1.744,1.752,1.618,1.673,16136.76,9701.43
1571097600,2019-10-15 00:00:00,QTUM/USD,1.825,1.839,1.744,1.744,5715.66,3234.86
1571011200,2019-10-14 00:00:00,QTUM/USD,1.801,1.825,1.779,1.825,9972.15,5551.15
1570924800,2019-10-13 00:00:00,QTUM/USD,1.786,1.821,1.776,1.801,2609.2,1454.77
1570838400,2019-10-12 00:00:00,QTUM/USD,1.79,1.81,1.775,1.786,5041.66,2823.28
1570752000,2019-10-11 00:00:00,QTUM/USD,1.813,1.847,1.766,1.79,19574.86,10992.18
1570665600,2019-10-10 00:00:00,QTUM/USD,1.877,1.877,1.79,1.813,9748.74,5385.7
1570579200,2019-10-09 00:00:00,QTUM/USD,1.806,1.9,1.806,1.877,17325.89,9277.07
1570492800,2019-10-08 00:00:00,QTUM/USD,1.809,1.853,1.778,1.806,8523.0,4686.16
1570406400,2019-10-07 00:00:00,QTUM/USD,1.699,1.823,1.686,1.809,22308.53,12646.27
1570320000,2019-10-06 00:00:00,QTUM/USD,1.73,1.73,1.671,1.699,3589.6,2115.91
1570233600,2019-10-05 00:00:00,QTUM/USD,1.71,1.732,1.683,1.73,4398.72,2568.68
1570147200,2019-10-04 00:00:00,QTUM/USD,1.685,1.74,1.663,1.71,9143.98,5329.5
1570060800,2019-10-03 00:00:00,QTUM/USD,1.712,1.72,1.652,1.685,9530.56,5599.0
1569974400,2019-10-02 00:00:00,QTUM/USD,1.695,1.712,1.659,1.712,1876.0,1111.17
1569888000,2019-10-01 00:00:00,QTUM/USD,1.699,1.763,1.688,1.695,10235.54,5921.89
