https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAT
1608681600000,2020-12-23 00:00:00,BAT/USD,0.21765,0.21986,0.18158,0.19257,57616.87716856995,299199.65294994
1608595200000,2020-12-22 00:00:00,BAT/USD,0.22354,0.22707,0.21052,0.21784,41100.97210295303,188675.04637786
1608508800000,2020-12-21 00:00:00,BAT/USD,0.23034,0.24,0.21887,0.22405,44118.56219955731,196913.91296388
1608422400000,2020-12-20 00:00:00,BAT/USD,0.24458,0.24458,0.22927,0.23121,26590.656619665435,115006.5162392
1608336000000,2020-12-19 00:00:00,BAT/USD,0.24911,0.26257,0.24506,0.24506,68516.59975737392,279591.11955184
1608249600000,2020-12-18 00:00:00,BAT/USD,0.22457,0.26303,0.22354,0.25008,104359.27149552273,417303.54884646
1608163200000,2020-12-17 00:00:00,BAT/USD,0.233,0.23821,0.22286,0.22541,27184.82225473491,120601.66920161
1608076800000,2020-12-16 00:00:00,BAT/USD,0.21986,0.23294,0.21727,0.23294,36152.05545519669,155199.00169656
1607990400000,2020-12-15 00:00:00,BAT/USD,0.21913,0.22264,0.21342,0.21744,7335.728430323314,33736.79373769
1607904000000,2020-12-14 00:00:00,BAT/USD,0.21328,0.21944,0.21101,0.21885,4039.4161980790286,18457.46492154
1607817600000,2020-12-13 00:00:00,BAT/USD,0.21145,0.21884,0.20762,0.21303,26659.936554961438,125146.39513196
1607731200000,2020-12-12 00:00:00,BAT/USD,0.20372,0.21434,0.20372,0.21206,31447.654557240407,148296.02262209
1607644800000,2020-12-11 00:00:00,BAT/USD,0.20891,0.20891,0.20102,0.20334,20794.898691807943,102266.64056166
1607558400000,2020-12-10 00:00:00,BAT/USD,0.21794,0.21884,0.20858,0.2086,18625.848570701917,89289.78221813
1607472000000,2020-12-09 00:00:00,BAT/USD,0.21893,0.225,0.207,0.22037,53427.04451223602,242442.45819411
1607385600000,2020-12-08 00:00:00,BAT/USD,0.23725,0.23835,0.21794,0.21982,15108.093042347624,68729.3833243
1607299200000,2020-12-07 00:00:00,BAT/USD,0.2378,0.2393,0.23195,0.23593,6813.650783582697,28879.96771747
1607212800000,2020-12-06 00:00:00,BAT/USD,0.2367,0.23752,0.2277,0.23672,13393.057203145005,56577.63265945
1607126400000,2020-12-05 00:00:00,BAT/USD,0.2277,0.23632,0.226,0.23632,11993.6081180272,50751.55771
1607040000000,2020-12-04 00:00:00,BAT/USD,0.2458,0.25024,0.22613,0.23037,40478.55412270568,175711.04797806
1606953600000,2020-12-03 00:00:00,BAT/USD,0.2456,0.24832,0.24041,0.24289,18686.041875417355,76932.11690649
1606867200000,2020-12-02 00:00:00,BAT/USD,0.23518,0.24503,0.23175,0.2427,17109.093132237947,70494.82131124
1606780800000,2020-12-01 00:00:00,BAT/USD,0.24395,0.2605,0.23254,0.23638,40752.80225256187,172403.76619241
1606694400000,2020-11-30 00:00:00,BAT/USD,0.2367,0.24432,0.23081,0.24428,56224.500843804824,230164.15934094
1606608000000,2020-11-29 00:00:00,BAT/USD,0.22927,0.23615,0.22405,0.23615,16034.190037368044,67898.32749256
1606521600000,2020-11-28 00:00:00,BAT/USD,0.22251,0.23453,0.21794,0.22981,20587.545268996066,89585.07144596
1606435200000,2020-11-27 00:00:00,BAT/USD,0.22551,0.23077,0.21346,0.22545,28441.045502605917,126152.34199426
1606348800000,2020-11-26 00:00:00,BAT/USD,0.25585,0.26137,0.20858,0.22499,143220.47969792128,636563.75704663
1606262400000,2020-11-25 00:00:00,BAT/USD,0.26197,0.288,0.24717,0.25552,114446.68270869281,447897.16150866
1606176000000,2020-11-24 00:00:00,BAT/USD,0.25541,0.27487,0.24178,0.26059,170181.51262397497,653062.33018909
1606089600000,2020-11-23 00:00:00,BAT/USD,0.22037,0.27,0.21643,0.25483,163032.96944016358,639771.49252507
1606003200000,2020-11-22 00:00:00,BAT/USD,0.23344,0.235,0.20714,0.21895,52635.48286507674,240399.55636025
1605916800000,2020-11-21 00:00:00,BAT/USD,0.20254,0.23375,0.20148,0.23375,87898.67767372244,376037.12373785
1605830400000,2020-11-20 00:00:00,BAT/USD,0.19619,0.20372,0.19488,0.2025,26276.899214659952,129762.46525758
1605744000000,2020-11-19 00:00:00,BAT/USD,0.19931,0.20311,0.1955,0.1955,6042.17329711392,30906.25727424
1605657600000,2020-11-18 00:00:00,BAT/USD,0.20558,0.20582,0.19002,0.19985,57480.743364062924,287619.43139386
1605571200000,2020-11-17 00:00:00,BAT/USD,0.20068,0.2072,0.20054,0.20467,7486.973927861492,36580.71005942
1605484800000,2020-11-16 00:00:00,BAT/USD,0.19273,0.20019,0.19239,0.19768,9388.22985855459,47492.05715578
1605398400000,2020-11-15 00:00:00,BAT/USD,0.1962,0.19979,0.18914,0.18914,6867.627289294604,36309.7562086
1605312000000,2020-11-14 00:00:00,BAT/USD,0.2029,0.2029,0.1947,0.19569,3623.9989195074354,18519.08078853
1605225600000,2020-11-13 00:00:00,BAT/USD,0.19539,0.20415,0.19539,0.20149,4385.874741715275,21767.208008909998
1605139200000,2020-11-12 00:00:00,BAT/USD,0.19688,0.20505,0.194,0.19648,5475.793055618938,27869.46791337
1605052800000,2020-11-11 00:00:00,BAT/USD,0.20214,0.20739,0.20017,0.20191,13757.586353607749,68137.22130458
1604966400000,2020-11-10 00:00:00,BAT/USD,0.19346,0.205,0.19346,0.20377,132195.88297664747,648750.46855105
1604880000000,2020-11-09 00:00:00,BAT/USD,0.19801,0.19911,0.18883,0.19181,16381.784533376127,85406.3111067
1604793600000,2020-11-08 00:00:00,BAT/USD,0.193,0.20283,0.18948,0.2004,22917.5694573615,114359.12902875
1604707200000,2020-11-07 00:00:00,BAT/USD,0.20397,0.2102,0.18626,0.19264,55013.26770984948,285575.51759681
1604620800000,2020-11-06 00:00:00,BAT/USD,0.19207,0.20499,0.19097,0.20189,23786.175399572494,117817.50160767
1604534400000,2020-11-05 00:00:00,BAT/USD,0.18723,0.1908,0.18144,0.18949,4830.088635957324,25489.93950054
1604448000000,2020-11-04 00:00:00,BAT/USD,0.18,0.18453,0.17636,0.18453,10751.201954228596,58262.62371554
1604361600000,2020-11-03 00:00:00,BAT/USD,0.18351,0.18452,0.17676,0.18055,14044.254197910828,77785.95512551
1604275200000,2020-11-02 00:00:00,BAT/USD,0.19138,0.19138,0.18158,0.18352,3519.433223125998,19177.38242767
1604188800000,2020-11-01 00:00:00,BAT/USD,0.18648,0.19066,0.18425,0.1904,6097.246106634256,32023.351400389998
1604102400000,2020-10-31 00:00:00,BAT/USD,0.18757,0.19022,0.18516,0.18516,7348.935985639322,39689.65211514
1604016000000,2020-10-30 00:00:00,BAT/USD,0.18898,0.18988,0.17742,0.18656,27598.696528325963,147934.69408408
1603929600000,2020-10-29 00:00:00,BAT/USD,0.19623,0.19781,0.18788,0.18908,9773.810746941355,51691.40441581
1603843200000,2020-10-28 00:00:00,BAT/USD,0.21318,0.21318,0.19066,0.19458,86199.0356747311,443000.49169869
1603756800000,2020-10-27 00:00:00,BAT/USD,0.21193,0.21507,0.20952,0.21439,17361.328492517325,80980.12263873
1603670400000,2020-10-26 00:00:00,BAT/USD,0.21885,0.2238,0.20961,0.213,15406.251207483629,72329.81787551
1603584000000,2020-10-25 00:00:00,BAT/USD,0.21989,0.21989,0.21435,0.21664,5795.396561880924,26751.27659657
1603497600000,2020-10-24 00:00:00,BAT/USD,0.22192,0.22224,0.21784,0.21784,3372.6315453999055,15482.14995134
1603411200000,2020-10-23 00:00:00,BAT/USD,0.22156,0.22512,0.21687,0.22142,12419.959843665189,56092.312544780005
1603324800000,2020-10-22 00:00:00,BAT/USD,0.21698,0.23348,0.21698,0.22049,33475.84196863271,151824.76288554
1603238400000,2020-10-21 00:00:00,BAT/USD,0.20987,0.21998,0.20987,0.21444,13846.29361984277,64569.54681889
1603152000000,2020-10-20 00:00:00,BAT/USD,0.21435,0.21512,0.20246,0.20921,25637.18228341677,122542.81479574
1603065600000,2020-10-19 00:00:00,BAT/USD,0.21366,0.21658,0.21021,0.21413,13270.865276012802,61975.74032603
1602979200000,2020-10-18 00:00:00,BAT/USD,0.21615,0.21784,0.21406,0.21406,16879.993178400568,78856.36353546
1602892800000,2020-10-17 00:00:00,BAT/USD,0.20756,0.21633,0.20756,0.21375,25054.50873960709,117214.07597477
1602806400000,2020-10-16 00:00:00,BAT/USD,0.21272,0.21272,0.20483,0.20762,13646.042629113997,65726.05061706
1602720000000,2020-10-15 00:00:00,BAT/USD,0.21268,0.21534,0.21,0.21331,19189.16404660529,89959.04573909
1602633600000,2020-10-14 00:00:00,BAT/USD,0.21917,0.21938,0.21177,0.21376,19454.755561035752,91012.14240754
1602547200000,2020-10-13 00:00:00,BAT/USD,0.22029,0.22447,0.21458,0.21701,18903.918761384393,87110.81867833
1602460800000,2020-10-12 00:00:00,BAT/USD,0.22174,0.226,0.2146,0.22098,26472.639485093376,119796.54034344
1602374400000,2020-10-11 00:00:00,BAT/USD,0.21879,0.22244,0.21849,0.22244,10624.697980771305,47764.33186824
1602288000000,2020-10-10 00:00:00,BAT/USD,0.22282,0.22801,0.22094,0.22094,2610.708839261345,11816.37023292
1602201600000,2020-10-09 00:00:00,BAT/USD,0.21608,0.225,0.21608,0.22207,2296.742947897202,10342.4278286
1602115200000,2020-10-08 00:00:00,BAT/USD,0.21064,0.21845,0.2073,0.21806,13395.093827547196,61428.47760959
1602028800000,2020-10-07 00:00:00,BAT/USD,0.20763,0.21542,0.20661,0.21478,9252.373743725597,43078.37668184
1601942400000,2020-10-06 00:00:00,BAT/USD,0.22279,0.22279,0.20644,0.20644,25697.03171609903,124476.99920606
1601856000000,2020-10-05 00:00:00,BAT/USD,0.22719,0.22725,0.21869,0.22099,7732.344909540905,34989.56925445
1601769600000,2020-10-04 00:00:00,BAT/USD,0.222,0.23175,0.22024,0.22281,11926.125041570649,53525.9864529
