https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EOS
1606953600000,2020-12-03 00:00:00,EOS/USD,3.0587,3.139,3.01280381,3.0852,1934930.1114306129,627165.21179522
1606867200000,2020-12-02 00:00:00,EOS/USD,2.9961,3.09,2.9676,3.0622,2064641.535600972,674234.71216804
1606780800000,2020-12-01 00:00:00,EOS/USD,3.2633,3.34,2.9108,3.001,11478019.025775358,3824731.43144797
1606694400000,2020-11-30 00:00:00,EOS/USD,3.0335,3.2845,2.9994,3.262,11038408.874849088,3383938.9561156
1606608000000,2020-11-29 00:00:00,EOS/USD,2.99763835,3.1,2.9052,3.0334,3665362.5435203477,1208334.72127657
1606521600000,2020-11-28 00:00:00,EOS/USD,2.8804,3.076,2.83,3.0001,5829951.745960598,1943252.47357108
1606435200000,2020-11-27 00:00:00,EOS/USD,2.9618,3.0356,2.7621,2.8777,7566932.3487020545,2629507.0190437
1606348800000,2020-11-26 00:00:00,EOS/USD,3.4248,3.5275,2.7126,2.9609,27119822.398267437,9159317.23403946
1606262400000,2020-11-25 00:00:00,EOS/USD,3.5935,3.89,3.3002,3.4248,20896585.970023144,6101549.27879676
1606176000000,2020-11-24 00:00:00,EOS/USD,3.3737,3.77,3.3281,3.5906,29656508.99508794,8259485.59992423
1606089600000,2020-11-23 00:00:00,EOS/USD,3.0609,3.3952,2.9944,3.3724,12701239.67907717,3766231.66856754
1606003200000,2020-11-22 00:00:00,EOS/USD,3.22631132,3.2945,2.9009,3.0608,9868844.737872612,3224269.71310527
1605916800000,2020-11-21 00:00:00,EOS/USD,2.7804,3.251,2.69039102,3.2195,16310261.702216998,5066085.32449666
1605830400000,2020-11-20 00:00:00,EOS/USD,2.6379,2.8285,2.6379,2.7815,5906240.532054131,2123401.23388608
1605744000000,2020-11-19 00:00:00,EOS/USD,2.6382,2.7,2.5603,2.637,2910705.2338028923,1103794.17284903
1605657600000,2020-11-18 00:00:00,EOS/USD,2.71823689,2.73299368,2.4409,2.6387,7264163.832028664,2752932.81996008
1605571200000,2020-11-17 00:00:00,EOS/USD,2.5825,2.755,2.5769,2.7183,6904020.6889027795,2539830.29426582
1605484800000,2020-11-16 00:00:00,EOS/USD,2.4954,2.6085,2.4875,2.5827,2591707.2028103913,1003487.51415588
1605398400000,2020-11-15 00:00:00,EOS/USD,2.5357,2.54718384,2.4679,2.4976,1290580.4204990102,516728.22729781
1605312000000,2020-11-14 00:00:00,EOS/USD,2.6011,2.6055,2.4937,2.5375,1987152.9943792582,783114.48054355
1605225600000,2020-11-13 00:00:00,EOS/USD,2.46461252,2.6429,2.4559,2.5967,2935319.5317819305,1130403.79396231
1605139200000,2020-11-12 00:00:00,EOS/USD,2.4999,2.50491275,2.434,2.4607,1279001.171137183,519771.2728643
1605052800000,2020-11-11 00:00:00,EOS/USD,2.502,2.54077487,2.4914,2.5019,1039670.1906457572,415552.25654333
1604966400000,2020-11-10 00:00:00,EOS/USD,2.4971,2.5278,2.4794,2.4987,708934.1172686763,283721.18192207
1604880000000,2020-11-09 00:00:00,EOS/USD,2.538,2.5599,2.4627,2.4988,1773075.1233350337,709570.64324277
1604793600000,2020-11-08 00:00:00,EOS/USD,2.4962,2.5636,2.4907,2.5409,1127939.549901526,443913.39678914
1604707200000,2020-11-07 00:00:00,EOS/USD,2.533,2.6246,2.4571,2.5014,3735141.462130989,1493220.38143879
1604620800000,2020-11-06 00:00:00,EOS/USD,2.44572442,2.54372435,2.4365,2.5301,3759363.890311836,1485855.85167062
1604534400000,2020-11-05 00:00:00,EOS/USD,2.3532,2.49141899,2.353,2.43865837,3436962.7905897433,1409366.24533831
1604448000000,2020-11-04 00:00:00,EOS/USD,2.3681,2.37552201,2.2912,2.3528,1600044.9921101774,680059.92524234
