https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1609632000000,2021-01-03 00:00:00,OMG/USD,2.5446,3.0544,2.4872,3.0355,2789756.640356176,919043.53166074
1609545600000,2021-01-02 00:00:00,OMG/USD,2.5429,2.7299,2.4663,2.5428,1817324.211209237,714694.12112995
1609459200000,2021-01-01 00:00:00,OMG/USD,2.4802,2.769,2.4408,2.5469,1442582.401502103,566407.16223727
1609372800000,2020-12-31 00:00:00,OMG/USD,2.4629,2.5635,2.3463,2.4799,1448830.2732254001,584229.31296641
1609286400000,2020-12-30 00:00:00,OMG/USD,2.5604,2.585,2.435,2.4641,549814.9853498399,223130.14299332
1609200000000,2020-12-29 00:00:00,OMG/USD,2.6593,2.722,2.4182,2.5567,1586501.0851759454,620526.88433369
1609113600000,2020-12-28 00:00:00,OMG/USD,2.641,2.7907,2.5812,2.6566,1081291.5900003356,407020.84995872
1609027200000,2020-12-27 00:00:00,OMG/USD,2.537,2.8474,2.4073,2.6393,1445601.9547908634,547721.72727271
1608940800000,2020-12-26 00:00:00,OMG/USD,2.596,2.6413,2.4903,2.5327,583246.2564647733,230286.35703588
1608854400000,2020-12-25 00:00:00,OMG/USD,2.5948,2.7814,2.5352,2.5962,1018262.1702947696,392212.52996486
1608768000000,2020-12-24 00:00:00,OMG/USD,2.326,2.5996,2.2526,2.5909,1222239.9144951475,471743.37662401
1608681600000,2020-12-23 00:00:00,OMG/USD,3.003,3.0169,1.9907,2.3272,2169853.9487787234,932388.25574885
1608595200000,2020-12-22 00:00:00,OMG/USD,2.9657,3.0299,2.82,3.0073,423703.3293484211,140891.60687275
1608508800000,2020-12-21 00:00:00,OMG/USD,3.1549,3.272,2.9123,2.9552,1292621.5313009482,437405.76993129
1608422400000,2020-12-20 00:00:00,OMG/USD,3.2595,3.3204,3.1153,3.1678,527397.5573374106,166487.01222849
1608336000000,2020-12-19 00:00:00,OMG/USD,3.2474,3.397,3.2366,3.2592,531629.0447212501,163116.42265625
1608249600000,2020-12-18 00:00:00,OMG/USD,3.2351,3.3296,3.17,3.2463,858697.1911738539,264515.66126786
1608163200000,2020-12-17 00:00:00,OMG/USD,3.3459,3.4933,3.1512,3.2367,1655655.286885267,511525.71658951
1608076800000,2020-12-16 00:00:00,OMG/USD,3.1599,3.3528,3.0848,3.3447,741497.410569305,221693.24919105
1607990400000,2020-12-15 00:00:00,OMG/USD,3.237,3.313,3.1345,3.1624,475188.3780227786,150261.94599759
1607904000000,2020-12-14 00:00:00,OMG/USD,3.2795,3.2911,3.1556,3.232,495786.80932471174,153399.38407324
1607817600000,2020-12-13 00:00:00,OMG/USD,3.1881,3.3594,3.1146,3.2752,423051.6870260469,129168.19950722
1607731200000,2020-12-12 00:00:00,OMG/USD,3.0006,3.2307,2.9874,3.1832,841018.1457400466,264205.24809627
1607644800000,2020-12-11 00:00:00,OMG/USD,3.148,3.2919,2.9653,2.9968,851754.8055503677,284221.43805071
1607558400000,2020-12-10 00:00:00,OMG/USD,3.2868,3.3116,3.0654,3.1479,554503.4305195183,176150.26859796
1607472000000,2020-12-09 00:00:00,OMG/USD,3.2338,3.3203,3.0203,3.2854,1629587.5971142696,496008.88692831
1607385600000,2020-12-08 00:00:00,OMG/USD,3.5842,3.6073,3.1546,3.2393,1479271.0766164372,456663.80903789
1607299200000,2020-12-07 00:00:00,OMG/USD,3.7096,3.7484,3.5399,3.5855,505072.0926685283,140865.17714922
1607212800000,2020-12-06 00:00:00,OMG/USD,3.7901,3.7902,3.5836,3.712,552089.9347214758,148731.12465557
1607126400000,2020-12-05 00:00:00,OMG/USD,3.5165,3.8238,3.4783,3.7887,1138802.7889245043,300578.77079856
1607040000000,2020-12-04 00:00:00,OMG/USD,3.793,4.4318,3.5,3.5259,5915429.065390167,1677707.5542103199
1606953600000,2020-12-03 00:00:00,OMG/USD,3.7856,3.8584,3.7049,3.7941,475866.86498287495,125422.85785374
1606867200000,2020-12-02 00:00:00,OMG/USD,3.6622,3.8799,3.6,3.7854,1699936.0801369706,449077.00114571
1606780800000,2020-12-01 00:00:00,OMG/USD,3.9539,4.0996,3.5271,3.6626,2662072.25416524,726825.82159265
1606694400000,2020-11-30 00:00:00,OMG/USD,3.7818,4.02,3.7145,3.947,2147116.81405438,543987.0316834
1606608000000,2020-11-29 00:00:00,OMG/USD,3.7847,3.8679,3.6252,3.784,665816.8476537344,175955.82654697
1606521600000,2020-11-28 00:00:00,OMG/USD,3.621,3.9677,3.4898,3.7811,1257909.536644416,332683.48804433
1606435200000,2020-11-27 00:00:00,OMG/USD,3.7185,3.8568,3.3476,3.6138,2453604.1616610205,678954.05436411
1606348800000,2020-11-26 00:00:00,OMG/USD,4.4215,4.6957,3.2558,3.712,8689892.222862607,2341026.99969359
1606262400000,2020-11-25 00:00:00,OMG/USD,4.3499,5.1736,4.1488,4.4312,6812115.768015021,1537307.2233289
1606176000000,2020-11-24 00:00:00,OMG/USD,4.2299,4.64,3.9766,4.3489,6215407.942942549,1429190.81674505
1606089600000,2020-11-23 00:00:00,OMG/USD,3.8932,4.2386,3.7983,4.2258,2290963.1215724517,542137.13890209
1606003200000,2020-11-22 00:00:00,OMG/USD,4.2346,4.2729,3.63,3.8938,3685065.90114741,946393.21514906
1605916800000,2020-11-21 00:00:00,OMG/USD,3.5371,4.34,3.5345,4.2535,6670504.207651261,1568238.91093247
1605830400000,2020-11-20 00:00:00,OMG/USD,3.2703,3.6499,3.258,3.532,2136768.9944464993,604974.23398825
1605744000000,2020-11-19 00:00:00,OMG/USD,3.3322,3.3554,3.2023,3.2721,402362.0734715005,122967.53567174
1605657600000,2020-11-18 00:00:00,OMG/USD,3.4612,3.5017,3.1801,3.3301,1230341.4253625614,369460.80458922
1605571200000,2020-11-17 00:00:00,OMG/USD,3.4413,3.5806,3.4001,3.4601,840890.6458794386,243024.95473525
1605484800000,2020-11-16 00:00:00,OMG/USD,3.3163,3.49,3.273,3.4444,648302.5951698209,188219.31110493
1605398400000,2020-11-15 00:00:00,OMG/USD,3.4237,3.4989,3.2453,3.3231,954988.6744983416,287378.85543569
1605312000000,2020-11-14 00:00:00,OMG/USD,3.6162,3.6355,3.3293,3.425,859793.4110891714,251034.57258078
1605225600000,2020-11-13 00:00:00,OMG/USD,3.4888,3.6459,3.434,3.6158,1115809.5577939663,308592.72022622
1605139200000,2020-11-12 00:00:00,OMG/USD,3.5149,3.8208,3.3754,3.4858,3500717.8724935367,1004279.61228227
1605052800000,2020-11-11 00:00:00,OMG/USD,3.244,3.848,3.244,3.5189,6594074.79848678,1873902.29858387
1604966400000,2020-11-10 00:00:00,OMG/USD,3.1784,3.2661,3.0871,3.2336,2124359.2906570304,656964.15470591
1604880000000,2020-11-09 00:00:00,OMG/USD,3.1928,3.2534,3.0146,3.1779,3097516.5630549695,974705.4857154
