https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XVG
1610409600000,2021-01-12 00:00:00,XVG/USD,0.012796,0.014,0.011439,0.01201,11488.496336286991,956577.5467349701
1610323200000,2021-01-11 00:00:00,XVG/USD,0.01423,0.0155,0.010228,0.012112,32712.77030587963,2700856.20094779
1610236800000,2021-01-10 00:00:00,XVG/USD,0.01573,0.018,0.013131,0.01437,55457.840279010146,3859279.07300001
1610150400000,2021-01-09 00:00:00,XVG/USD,0.014251,0.016,0.01326,0.01517,18607.394916619316,1226591.62271716
1610064000000,2021-01-08 00:00:00,XVG/USD,0.01573,0.0167,0.013,0.014878,52764.535156048,3546480.3841946498
1609977600000,2021-01-07 00:00:00,XVG/USD,0.0132,0.018795,0.01216,0.017057,75892.32478929387,4449336.0373626
1609891200000,2021-01-06 00:00:00,XVG/USD,0.0086,0.014075,0.0082,0.0126,129843.9975848962,10305079.17340446
1609804800000,2021-01-05 00:00:00,XVG/USD,0.0091441,0.009395,0.0081642,0.0086003,12503.581647189421,1453854.12685481
1609718400000,2021-01-04 00:00:00,XVG/USD,0.00979,0.0099,0.0082714,0.00854,16073.000158945631,1882084.32774539
1609632000000,2021-01-03 00:00:00,XVG/USD,0.0077301,0.010499,0.0077301,0.00918,41317.7030160346,4500839.1085005
1609545600000,2021-01-02 00:00:00,XVG/USD,0.0073218,0.0076799,0.0066691,0.0074002,17006.55068981102,2298120.41428759
1609459200000,2021-01-01 00:00:00,XVG/USD,0.0071302,0.00821,0.0069958,0.0071256,81542.67911113723,11443622.868409289
1609372800000,2020-12-31 00:00:00,XVG/USD,0.0077795,0.007837,0.007074,0.0074932,1560.1269830786816,208205.70424900998
1609286400000,2020-12-30 00:00:00,XVG/USD,0.0074773,0.0080574,0.0069798,0.0078647,6142.393426712406,781007.97572856
1609200000000,2020-12-29 00:00:00,XVG/USD,0.0074656,0.0075045,0.0069556,0.007327,4231.7792128002675,577559.603221
1609113600000,2020-12-28 00:00:00,XVG/USD,0.00775,0.0082174,0.0072616,0.0074436,3674.3441735468,493624.61356693
1609027200000,2020-12-27 00:00:00,XVG/USD,0.0072152,0.009483,0.0069221,0.0079,20713.82125843556,2622002.69094121
1608940800000,2020-12-26 00:00:00,XVG/USD,0.0069811,0.0072442,0.006666,0.00718,1999.2572903745954,278448.09058142
1608854400000,2020-12-25 00:00:00,XVG/USD,0.0066445,0.0067875,0.0060162,0.0067594,3840.9840911599254,568243.34869366
1608768000000,2020-12-24 00:00:00,XVG/USD,0.00607,0.0066083,0.0059399,0.0065448,1912.4854617398223,292214.50032695
1608681600000,2020-12-23 00:00:00,XVG/USD,0.0074641,0.0103,0.0058001,0.0061814,34332.93778950738,5554233.3111443
1608595200000,2020-12-22 00:00:00,XVG/USD,0.0068503,0.0085,0.0067231,0.0072776,5650.783886879113,776462.55453434
1608508800000,2020-12-21 00:00:00,XVG/USD,0.0077533,0.0077533,0.0067181,0.0072317,3253.0830428663085,449836.55888191
1608422400000,2020-12-20 00:00:00,XVG/USD,0.0076466,0.0082,0.0072527,0.0077,1853.820317541423,240755.88539499
1608336000000,2020-12-19 00:00:00,XVG/USD,0.0074837,0.008,0.0074468,0.00775,3368.2159651321126,434608.51162995
1608249600000,2020-12-18 00:00:00,XVG/USD,0.0074853,0.0074994,0.00715,0.00747,4642.449467781907,621479.1790872699
1608163200000,2020-12-17 00:00:00,XVG/USD,0.0072012,0.0076002,0.0069003,0.0072,4545.254216959272,631285.30791101
1608076800000,2020-12-16 00:00:00,XVG/USD,0.0066241,0.0071974,0.0063,0.007121,5739.716012704389,806026.68342991
1607990400000,2020-12-15 00:00:00,XVG/USD,0.0068271,0.0069329,0.0066241,0.0066241,5331.574226183766,804875.26247849
1607904000000,2020-12-14 00:00:00,XVG/USD,0.0069146,0.0070561,0.0066226,0.0066226,1811.5173863210773,273535.67878493
1607817600000,2020-12-13 00:00:00,XVG/USD,0.0073927,0.0073927,0.0067173,0.0069146,542.5313056643289,78461.70503924
1607731200000,2020-12-12 00:00:00,XVG/USD,0.0066148,0.0075,0.0066,0.0073953,1316.2462798940742,177984.16289996
1607644800000,2020-12-11 00:00:00,XVG/USD,0.0067012,0.009837,0.0064913,0.00675,9793.038167924647,1450820.46932217
1607558400000,2020-12-10 00:00:00,XVG/USD,0.00619,0.0073567,0.00601,0.0069482,9265.980678830698,1333580.01767806
1607472000000,2020-12-09 00:00:00,XVG/USD,0.0060425,0.00705,0.005546,0.0061034,8949.017394638968,1466234.78628944
1607385600000,2020-12-08 00:00:00,XVG/USD,0.0066182,0.00663,0.0060739,0.0060739,3096.5823147112205,509817.79659053
1607299200000,2020-12-07 00:00:00,XVG/USD,0.0069766,0.0070306,0.0066554,0.0068153,4449.72580666231,652902.41172983
1607212800000,2020-12-06 00:00:00,XVG/USD,0.0069398,0.0070604,0.0066994,0.0069909,7141.3274538347,1021517.6091540001
1607126400000,2020-12-05 00:00:00,XVG/USD,0.0064112,0.0070585,0.0064112,0.0067918,3164.840003826095,465979.56415473
1607040000000,2020-12-04 00:00:00,XVG/USD,0.0072,0.0072806,0.0061004,0.0064545,9658.473696435165,1496393.78672789
1606953600000,2020-12-03 00:00:00,XVG/USD,0.0075255,0.0077658,0.0071344,0.0071344,7911.230214119262,1108885.14999429
1606867200000,2020-12-02 00:00:00,XVG/USD,0.0070226,0.0074998,0.0067075,0.0074998,8327.625733048852,1110379.70786539
1606780800000,2020-12-01 00:00:00,XVG/USD,0.0074995,0.0077945,0.0066115,0.00706,9009.858771988775,1276183.96203807
1606694400000,2020-11-30 00:00:00,XVG/USD,0.0069202,0.0073028,0.0068199,0.0073028,4982.366419859808,682254.26136
1606608000000,2020-11-29 00:00:00,XVG/USD,0.0069234,0.007076,0.0066748,0.0067579,1195.7894235868969,176946.89527618
1606521600000,2020-11-28 00:00:00,XVG/USD,0.0062385,0.0074812,0.0062174,0.0071051,5692.913875773818,801243.31477021
1606435200000,2020-11-27 00:00:00,XVG/USD,0.0066326,0.006668,0.0060004,0.0060022,3273.165001423007,545327.54680334
1606348800000,2020-11-26 00:00:00,XVG/USD,0.00726,0.0076009,0.0056775,0.006265,22338.764449890714,3565644.7645476
1606262400000,2020-11-25 00:00:00,XVG/USD,0.00861,0.0103,0.0068211,0.0070999,35974.90698367259,5066959.67318872
1606176000000,2020-11-24 00:00:00,XVG/USD,0.005474,0.0088,0.0052481,0.0086594,41878.35527904392,4836172.86175069
1606089600000,2020-11-23 00:00:00,XVG/USD,0.0045683,0.0054434,0.0045683,0.0054434,5973.0013869449795,1097292.38838685
1606003200000,2020-11-22 00:00:00,XVG/USD,0.00492,0.00506,0.0044599,0.0045303,2851.029105268289,629324.57127967
