https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETP
1609286400000,2020-12-30 00:00:00,ETP/USD,0.081968,0.08554,0.0791,0.080015,5300.160592539462,66239.58748409
1609200000000,2020-12-29 00:00:00,ETP/USD,0.083636,0.084478,0.078697,0.0827,5695.868419055906,68873.86238278
1609113600000,2020-12-28 00:00:00,ETP/USD,0.085333,0.089733,0.0812,0.084479,12541.752481065569,148460.00166983
1609027200000,2020-12-27 00:00:00,ETP/USD,0.086992,0.088,0.08311,0.084444,9654.617729438456,114331.60117282999
1608940800000,2020-12-26 00:00:00,ETP/USD,0.0858,0.091575,0.08315,0.091575,7362.863225016775,80402.54681972999
1608854400000,2020-12-25 00:00:00,ETP/USD,0.083431,0.088309,0.0811,0.083111,5708.235269856885,68682.06699302
1608768000000,2020-12-24 00:00:00,ETP/USD,0.0869,0.088,0.08,0.0861,11526.727888071018,133876.04980338
1608681600000,2020-12-23 00:00:00,ETP/USD,0.09801,0.10088,0.0812,0.087924,29112.74248275237,331112.57998672
1608595200000,2020-12-22 00:00:00,ETP/USD,0.097911,0.10351,0.097911,0.09803,5619.063503802401,57319.835803350004
1608508800000,2020-12-21 00:00:00,ETP/USD,0.10958,0.11281,0.09435,0.097673,26436.023446558836,270658.45675426
1608422400000,2020-12-20 00:00:00,ETP/USD,0.10084,0.11085,0.10002,0.10957,22612.206129604227,206372.23810901
1608336000000,2020-12-19 00:00:00,ETP/USD,0.095735,0.10633,0.09329,0.10036,18407.24604094456,183412.17657378
1608249600000,2020-12-18 00:00:00,ETP/USD,0.093708,0.09685,0.0914,0.095736,23837.998808905748,248997.2299752
1608163200000,2020-12-17 00:00:00,ETP/USD,0.0986,0.0986,0.08996,0.093803,45070.98563590355,480485.54562118
1608076800000,2020-12-16 00:00:00,ETP/USD,0.0961,0.098233,0.090173,0.098233,30947.809411248698,315044.93816995
1607990400000,2020-12-15 00:00:00,ETP/USD,0.095316,0.1,0.095,0.0961,13243.525724086227,137809.84104148
1607904000000,2020-12-14 00:00:00,ETP/USD,0.099998,0.10244,0.095,0.096277,13169.977092897554,136792.55785803
1607817600000,2020-12-13 00:00:00,ETP/USD,0.1,0.1048,0.098235,0.1,12223.119912849,122231.19912849
1607731200000,2020-12-12 00:00:00,ETP/USD,0.0975,0.10169,0.096279,0.1,6058.519974068,60585.19974068
1607644800000,2020-12-11 00:00:00,ETP/USD,0.096,0.09925,0.096,0.09725,11952.24461493698,122902.25825128
1607558400000,2020-12-10 00:00:00,ETP/USD,0.1013,0.10279,0.095221,0.09601,13970.804109683062,145514.05176214
1607472000000,2020-12-09 00:00:00,ETP/USD,0.10651,0.109,0.097199,0.10131,22414.43561949127,221246.03316051
1607385600000,2020-12-08 00:00:00,ETP/USD,0.11168,0.1119,0.1061,0.10757,10132.032139130062,94190.12865232
1607299200000,2020-12-07 00:00:00,ETP/USD,0.11555,0.11555,0.10791,0.11,12497.7531909494,113615.93809954
1607212800000,2020-12-06 00:00:00,ETP/USD,0.115,0.11765,0.11315,0.11661,4887.4995122789005,41913.210807639996
1607126400000,2020-12-05 00:00:00,ETP/USD,0.11201,0.11799,0.1095,0.115,7099.870334130201,61738.00290548
1607040000000,2020-12-04 00:00:00,ETP/USD,0.12388,0.12597,0.1103,0.11204,16968.891750937823,151453.87139359
1606953600000,2020-12-03 00:00:00,ETP/USD,0.1233,0.12649,0.11953,0.12301,14081.172639625318,114471.77172283
1606867200000,2020-12-02 00:00:00,ETP/USD,0.1299,0.13049,0.1233,0.1233,7302.565703292112,59225.99921567
1606780800000,2020-12-01 00:00:00,ETP/USD,0.1315,0.13498,0.126,0.12999,8509.748494518244,65464.63954549
1606694400000,2020-11-30 00:00:00,ETP/USD,0.12999,0.135,0.126,0.1315,16371.955976078314,124501.56635801
1606608000000,2020-11-29 00:00:00,ETP/USD,0.13498,0.13799,0.1256,0.127,9886.29079059833,77844.80937479
1606521600000,2020-11-28 00:00:00,ETP/USD,0.12999,0.1405,0.128,0.1345,10550.12091550576,78439.56071008
1606435200000,2020-11-27 00:00:00,ETP/USD,0.12451,0.136,0.122,0.12999,12499.569039951497,96157.92784023
1606348800000,2020-11-26 00:00:00,ETP/USD,0.1555,0.158,0.10016,0.12599,64993.40239109483,515861.59529403
