https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1612483200000,2021-02-05 00:00:00,REP/USD,21.222,25.109,21.047,22.915,18972.9415913424,827.97039456
1612396800000,2021-02-04 00:00:00,REP/USD,20.815,21.855,19.673,21.542,3688.19215224726,171.20936552999999
1612310400000,2021-02-03 00:00:00,REP/USD,19.01,20.898,18.981,20.898,13698.020221086961,655.47039052
1612224000000,2021-02-02 00:00:00,REP/USD,18.424,19.069,18.417,18.732,953.4542007320399,50.89975447
1612137600000,2021-02-01 00:00:00,REP/USD,18.017,18.888,18.017,18.044,927.9418356468001,51.4266147
1612051200000,2021-01-31 00:00:00,REP/USD,18.334,18.384,18.0,18.0,361.41283547999996,20.07849086
1611964800000,2021-01-30 00:00:00,REP/USD,19.262,19.262,18.198,18.397,254.60275007279998,13.8393624
1611878400000,2021-01-29 00:00:00,REP/USD,19.1,19.885,18.645,19.083,2732.0626795467297,143.16735731
1611792000000,2021-01-28 00:00:00,REP/USD,18.431,19.206,18.339,19.206,121.02073081164,6.30119394
1611705600000,2021-01-27 00:00:00,REP/USD,18.252,18.253,18.252,18.253,698.75351400276,38.28157092
1611619200000,2021-01-26 00:00:00,REP/USD,19.185,19.185,19.185,19.185,15.999999922799999,0.83398488
1611532800000,2021-01-25 00:00:00,REP/USD,20.123,20.123,19.601,19.601,592.1378068552899,30.20957129
1611446400000,2021-01-24 00:00:00,REP/USD,19.52,19.601,19.52,19.601,1022.3563887390999,52.1583791
1611360000000,2021-01-23 00:00:00,REP/USD,18.855,19.035,18.434,18.63,99.9027259308,5.36246516
1611273600000,2021-01-22 00:00:00,REP/USD,17.958,18.57,17.426,18.411,1089.45367242012,59.17406292
1611187200000,2021-01-21 00:00:00,REP/USD,21.381,21.381,18.853,18.916,2267.52984309424,119.87364364
1611100800000,2021-01-20 00:00:00,REP/USD,21.459,24.262,20.854,21.657,13847.16572231763,639.38522059
1611014400000,2021-01-19 00:00:00,REP/USD,21.841,22.693,21.341,21.761,5046.8588375208,231.9221928
1610928000000,2021-01-18 00:00:00,REP/USD,21.682,21.682,20.385,21.028,4024.3681738259997,191.3814045
1610841600000,2021-01-17 00:00:00,REP/USD,19.54,21.202,18.585,20.957,12241.43504483147,584.12153671
1610755200000,2021-01-16 00:00:00,REP/USD,19.175,20.089,19.175,19.8,1534.822119864,77.51626868
1610668800000,2021-01-15 00:00:00,REP/USD,19.791,19.885,18.256,18.613,1299.4990728237,69.8167449
1610582400000,2021-01-14 00:00:00,REP/USD,18.692,20.21,18.692,19.09,4928.6213288697,258.17817333
1610496000000,2021-01-13 00:00:00,REP/USD,17.478,18.857,17.223,18.256,1128.0894909816,61.79280735
1610409600000,2021-01-12 00:00:00,REP/USD,18.602,18.602,16.987,17.478,3038.0467885326007,173.8211917
1610323200000,2021-01-11 00:00:00,REP/USD,20.432,20.811,16.811,17.614,6322.1258904039005,358.92618885
1610236800000,2021-01-10 00:00:00,REP/USD,20.213,22.872,18.865,20.887,14228.952234668099,681.2348463
1610150400000,2021-01-09 00:00:00,REP/USD,18.032,19.9,18.015,19.9,2745.537444823,137.96670577
1610064000000,2021-01-08 00:00:00,REP/USD,17.996,19.5,17.157,17.946,13163.22037625148,733.49049238
