https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETC
1613779200000,2021-02-20 00:00:00,ETC/USD,15.469,17.4,14.363,15.109,2882216.3610936394,190761.55676045
1613692800000,2021-02-19 00:00:00,ETC/USD,14.995,15.9,14.318,15.425,1708058.6379237496,110733.13698047
1613606400000,2021-02-18 00:00:00,ETC/USD,15.29,15.758,14.625,14.976,829313.7442823002,55376.18484791
1613520000000,2021-02-17 00:00:00,ETC/USD,14.498,15.825,13.657,15.291,1831307.6961327246,119763.76274493
1613433600000,2021-02-16 00:00:00,ETC/USD,14.696,15.579,13.749,14.441,1028888.942111171,71247.76276651
1613347200000,2021-02-15 00:00:00,ETC/USD,16.121,16.568,13.046,14.613,2610261.3426755336,178625.97294707
1613260800000,2021-02-14 00:00:00,ETC/USD,16.612,17.749,15.51,16.006,4213854.27686878,263267.16711663
1613174400000,2021-02-13 00:00:00,ETC/USD,11.995,17.993,11.688,16.535,8057055.223407779,487272.76827383
1613088000000,2021-02-12 00:00:00,ETC/USD,11.738,12.338,11.112,11.978,896697.2886426112,74862.02109222
1613001600000,2021-02-11 00:00:00,ETC/USD,10.362,11.755,10.352,11.706,978438.9018152534,83584.39277424
1612915200000,2021-02-10 00:00:00,ETC/USD,9.6806,11.435,9.5982,10.404,2819659.983470023,271016.91498174
1612828800000,2021-02-09 00:00:00,ETC/USD,8.7371,10.022,8.6572,9.6088,3280712.0228018803,341427.86017004
1612742400000,2021-02-08 00:00:00,ETC/USD,8.2918,8.7618,8.1076,8.7242,685884.9715060097,78618.66664061
1612656000000,2021-02-07 00:00:00,ETC/USD,8.7822,8.8989,7.8474,8.2864,605560.6725213379,73078.86084685
1612569600000,2021-02-06 00:00:00,ETC/USD,8.5686,9.12,8.2101,8.7901,703326.1665625821,80013.44314201
1612483200000,2021-02-05 00:00:00,ETC/USD,7.6534,8.9,7.6279,8.511,743779.391104387,87390.36436428
1612396800000,2021-02-04 00:00:00,ETC/USD,7.949,8.099,7.5504,7.65,204409.355448114,26720.17718276
1612310400000,2021-02-03 00:00:00,ETC/USD,7.8199,8.0146,7.6482,7.9264,213234.8519295763,26901.8535438
1612224000000,2021-02-02 00:00:00,ETC/USD,7.536,7.9258,7.4787,7.8005,163267.5932575265,20930.40103295
1612137600000,2021-02-01 00:00:00,ETC/USD,7.3886,7.6524,7.2553,7.538,354820.63599197235,47070.92544335
1612051200000,2021-01-31 00:00:00,ETC/USD,7.599,7.7125,7.2,7.4141,198088.3120487269,26717.78260999
1611964800000,2021-01-30 00:00:00,ETC/USD,7.6169,7.8212,7.3166,7.5847,244141.80419591046,32188.72258572
1611878400000,2021-01-29 00:00:00,ETC/USD,7.6703,8.0651,7.3936,7.6212,420549.7191399731,55181.5618459
1611792000000,2021-01-28 00:00:00,ETC/USD,6.9012,8.4393,6.7675,7.6739,1028204.1364312115,133987.16903155
