https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XMR
1607472000000,2020-12-09 00:00:00,XMR/USD,135.8,137.44,127.11,132.64,1794416.9143424814,13528.47492719
1607385600000,2020-12-08 00:00:00,XMR/USD,138.8,143.23,132.93,135.7,912792.575040867,6726.54808431
1607299200000,2020-12-07 00:00:00,XMR/USD,134.67,144.0,134.23,138.95,2504423.4987365752,18023.91866669
1607212800000,2020-12-06 00:00:00,XMR/USD,133.56,134.7,128.52,134.54,209089.90782409097,1554.10961665
1607126400000,2020-12-05 00:00:00,XMR/USD,126.71,133.53,124.16,133.5,189766.97743173,1421.47548638
1607040000000,2020-12-04 00:00:00,XMR/USD,133.78,135.66,126.2,126.77,441915.0199313633,3485.95898029
1606953600000,2020-12-03 00:00:00,XMR/USD,127.87,133.69,126.54,133.19,789084.0952669488,5924.49955152
1606867200000,2020-12-02 00:00:00,XMR/USD,126.02,129.41,124.38,127.88,292832.38488816115,2289.89978799
1606780800000,2020-12-01 00:00:00,XMR/USD,130.58,133.05,120.81,126.17,2179767.4024164984,17276.43181752
1606694400000,2020-11-30 00:00:00,XMR/USD,124.0,130.55,121.79,130.55,828287.4556661355,6344.59943061
1606608000000,2020-11-29 00:00:00,XMR/USD,122.01,126.0,119.48,123.91,438262.36434941966,3536.94104067
1606521600000,2020-11-28 00:00:00,XMR/USD,117.47,125.25,114.4,121.89,264065.3910618027,2166.42375143
1606435200000,2020-11-27 00:00:00,XMR/USD,120.42,122.27,111.66,117.33,1011648.990533812,8622.25339243
1606348800000,2020-11-26 00:00:00,XMR/USD,128.92,132.33,108.19,120.46,2484927.0408841777,20628.64885343
1606262400000,2020-11-25 00:00:00,XMR/USD,134.93,138.44,125.47,129.0,1530508.9392650998,11864.4103819
1606176000000,2020-11-24 00:00:00,XMR/USD,129.88,142.71,126.73,135.06,2647729.0899474006,19604.09514251
1606089600000,2020-11-23 00:00:00,XMR/USD,123.56,131.07,122.5,129.8,1887856.5574041582,14544.34944071
1606003200000,2020-11-22 00:00:00,XMR/USD,128.12,129.5,118.92,123.42,720486.7791522125,5837.68254053
1605916800000,2020-11-21 00:00:00,XMR/USD,121.12,129.5,119.5,127.85,1136495.2504697025,8889.28627665
1605830400000,2020-11-20 00:00:00,XMR/USD,118.55,123.26,118.11,121.14,454933.7347818816,3755.43779744
1605744000000,2020-11-19 00:00:00,XMR/USD,123.65,123.65,117.12,118.61,524721.1371423429,4423.91988148
1605657600000,2020-11-18 00:00:00,XMR/USD,125.58,126.55,118.89,123.69,811612.6253733876,6561.66727604
1605571200000,2020-11-17 00:00:00,XMR/USD,118.49,125.61,117.62,125.61,626477.3270501379,4987.47971539
1605484800000,2020-11-16 00:00:00,XMR/USD,114.63,119.98,113.56,118.38,349951.5023262414,2956.17082553
1605398400000,2020-11-15 00:00:00,XMR/USD,116.75,117.8,113.01,114.65,215068.72989046,1875.8720444
1605312000000,2020-11-14 00:00:00,XMR/USD,114.03,117.53,113.13,116.75,214448.7083448075,1836.81977169
1605225600000,2020-11-13 00:00:00,XMR/USD,112.27,114.92,111.59,113.92,291942.10502540803,2562.6940399
1605139200000,2020-11-12 00:00:00,XMR/USD,113.11,115.22,110.3,111.93,266365.63051062514,2379.75190307
1605052800000,2020-11-11 00:00:00,XMR/USD,115.7,118.09,113.17,113.17,183446.1493672605,1620.97861065
1604966400000,2020-11-10 00:00:00,XMR/USD,116.07,117.96,114.08,115.52,155395.8987213728,1345.18610389
1604880000000,2020-11-09 00:00:00,XMR/USD,120.4,122.14,114.0,115.83,713737.1493768088,6161.93688489
1604793600000,2020-11-08 00:00:00,XMR/USD,111.12,120.92,109.93,120.47,529618.4569513369,4396.26842327
1604707200000,2020-11-07 00:00:00,XMR/USD,119.36,125.9,109.91,111.17,1506459.1691616557,13550.95051868
1604620800000,2020-11-06 00:00:00,XMR/USD,119.44,124.15,116.51,119.09,939972.5816257073,7892.95979197
1604534400000,2020-11-05 00:00:00,XMR/USD,115.97,120.12,110.8,119.38,1166671.0255587432,9772.75109364
1604448000000,2020-11-04 00:00:00,XMR/USD,121.48,121.69,113.9,115.66,566334.7043576746,4896.54767731
1604361600000,2020-11-03 00:00:00,XMR/USD,118.92,121.41,116.26,120.92,718911.571261128,5945.3487534
1604275200000,2020-11-02 00:00:00,XMR/USD,127.23,128.29,115.3,119.03,696093.7100314217,5848.05267606
1604188800000,2020-11-01 00:00:00,XMR/USD,126.45,127.19,123.4,127.04,139211.16300848642,1095.80575416
1604102400000,2020-10-31 00:00:00,XMR/USD,123.12,128.0,121.45,126.45,516112.89483598655,4081.55709637
1604016000000,2020-10-30 00:00:00,XMR/USD,124.36,125.29,118.1,123.45,535155.155770956,4334.99518648
1603929600000,2020-10-29 00:00:00,XMR/USD,126.27,128.55,121.67,124.48,342985.2425230912,2755.34417194
1603843200000,2020-10-28 00:00:00,XMR/USD,133.3,135.32,123.38,126.43,1206595.826069796,9543.58796227
1603756800000,2020-10-27 00:00:00,XMR/USD,131.57,137.98,131.49,133.93,758682.486241152,5664.7688064
1603670400000,2020-10-26 00:00:00,XMR/USD,130.93,139.48,129.22,131.58,1297383.9359213503,9860.03903269
1603584000000,2020-10-25 00:00:00,XMR/USD,129.55,134.45,127.84,131.11,658743.7059241773,5024.35898043
1603497600000,2020-10-24 00:00:00,XMR/USD,127.53,130.25,125.42,129.14,170156.91144109017,1317.61585443
1603411200000,2020-10-23 00:00:00,XMR/USD,127.58,127.58,122.53,127.5,514800.3108267,4037.64949668
1603324800000,2020-10-22 00:00:00,XMR/USD,121.64,129.7,119.57,127.16,690537.9025476227,5430.46478883
1603238400000,2020-10-21 00:00:00,XMR/USD,118.08,126.49,116.79,121.51,496851.4954167273,4088.97617823
1603152000000,2020-10-20 00:00:00,XMR/USD,125.82,127.35,117.46,118.35,911026.9145563875,7697.73480825
1603065600000,2020-10-19 00:00:00,XMR/USD,124.44,130.4,122.57,125.85,537829.054390359,4273.57214454
1602979200000,2020-10-18 00:00:00,XMR/USD,119.98,124.48,119.98,124.44,392334.90633417,3152.80381175
1602892800000,2020-10-17 00:00:00,XMR/USD,120.65,122.76,119.31,120.07,436325.91301420436,3633.92948292
1602806400000,2020-10-16 00:00:00,XMR/USD,130.38,133.06,119.07,120.77,1090519.0728339062,9029.71824819
1602720000000,2020-10-15 00:00:00,XMR/USD,128.27,132.4,123.67,130.29,474883.9416665796,3644.82263924
1602633600000,2020-10-14 00:00:00,XMR/USD,128.23,133.85,125.43,128.87,667408.653080211,5178.9295653
1602547200000,2020-10-13 00:00:00,XMR/USD,129.35,132.1,124.0,128.14,964372.2197904626,7525.92648502
1602460800000,2020-10-12 00:00:00,XMR/USD,125.82,135.33,125.14,129.58,2434663.8378906776,18788.885922909998
1602374400000,2020-10-11 00:00:00,XMR/USD,116.02,126.0,115.68,125.86,1190085.4371721798,9455.62877143
1602288000000,2020-10-10 00:00:00,XMR/USD,116.17,118.95,115.56,115.9,241631.535462378,2084.82774342
1602201600000,2020-10-09 00:00:00,XMR/USD,111.51,118.27,108.56,116.22,745262.1672192216,6412.51219428
1602115200000,2020-10-08 00:00:00,XMR/USD,110.33,113.07,107.51,111.49,960733.8460054729,8617.21989421
1602028800000,2020-10-07 00:00:00,XMR/USD,106.63,112.88,102.4,110.22,842168.5646413248,7640.79626784
1601942400000,2020-10-06 00:00:00,XMR/USD,112.97,114.0,105.47,106.75,1512311.6347647875,14166.85372145
1601856000000,2020-10-05 00:00:00,XMR/USD,105.62,114.0,104.23,112.68,989243.6085612793,8779.22975294
1601769600000,2020-10-04 00:00:00,XMR/USD,103.67,109.3,101.47,105.62,524013.08114314807,4961.3054454
1601683200000,2020-10-03 00:00:00,XMR/USD,101.7,104.18,100.9,103.77,191798.4571991415,1848.30352895
1601596800000,2020-10-02 00:00:00,XMR/USD,103.78,105.64,93.661,101.84,938364.1504429192,9214.10202713
1601510400000,2020-10-01 00:00:00,XMR/USD,108.73,113.43,101.75,103.8,1633633.342930794,15738.27883363
1601424000000,2020-09-30 00:00:00,XMR/USD,100.72,110.49,98.011,108.18,2034134.5858138208,18803.24076367
1601337600000,2020-09-29 00:00:00,XMR/USD,95.127,101.24,94.501,100.71,317773.5172845282,3155.33231342
1601251200000,2020-09-28 00:00:00,XMR/USD,97.401,98.963,94.8,94.917,246595.24614351007,2598.00927277
1601164800000,2020-09-27 00:00:00,XMR/USD,95.243,100.0,93.806,97.621,605616.988087615,6203.75726624
1601078400000,2020-09-26 00:00:00,XMR/USD,93.266,95.604,92.487,94.529,109912.44573582566,1162.73784485
1600992000000,2020-09-25 00:00:00,XMR/USD,92.028,94.295,90.546,93.177,116589.68546308966,1251.27108045
