https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1610150400000,2021-01-09 00:00:00,XLM/USD,0.297,0.3295,0.28183,0.31036,4444439.12981005,14320270.42727816
1610064000000,2021-01-08 00:00:00,XLM/USD,0.31304,0.33088,0.26227,0.29679,9280976.958368793,31271191.61147206
1609977600000,2021-01-07 00:00:00,XLM/USD,0.345,0.42,0.29,0.31218,18253175.597785603,58470035.22898841
1609891200000,2021-01-06 00:00:00,XLM/USD,0.19352,0.389,0.19229,0.34358,37152823.93430033,108134419.74009061
1609804800000,2021-01-05 00:00:00,XLM/USD,0.16367,0.2099,0.14985,0.19442,7000414.400159053,36006657.75207824
1609718400000,2021-01-04 00:00:00,XLM/USD,0.13638,0.167,0.12762,0.16456,7212206.896625517,43827217.40778753
1609632000000,2021-01-03 00:00:00,XLM/USD,0.12753,0.13904,0.12301,0.1359,2315722.9101028186,17039903.67993244
1609545600000,2021-01-02 00:00:00,XLM/USD,0.13223,0.13454,0.1268,0.12758,1409803.6479856658,11050349.96069655
1609459200000,2021-01-01 00:00:00,XLM/USD,0.12768,0.13978,0.12659,0.13198,1493744.0954233266,11317957.989266
1609372800000,2020-12-31 00:00:00,XLM/USD,0.1318,0.1326,0.12232,0.12756,1677327.2895941003,13149320.23827297
1609286400000,2020-12-30 00:00:00,XLM/USD,0.13824,0.13942,0.1288,0.13163,1190334.4000225044,9043032.74346657
1609200000000,2020-12-29 00:00:00,XLM/USD,0.14425,0.14879,0.12786,0.13796,2501597.647552975,18132775.06199605
1609113600000,2020-12-28 00:00:00,XLM/USD,0.14524,0.15409,0.14144,0.14445,779447.0128615157,5395964.0904224
1609027200000,2020-12-27 00:00:00,XLM/USD,0.1464,0.15523,0.13432,0.1449,1061620.762620395,7326575.31138989
1608940800000,2020-12-26 00:00:00,XLM/USD,0.15201,0.1554,0.14372,0.14669,498908.92496157886,3401110.67531242
1608854400000,2020-12-25 00:00:00,XLM/USD,0.15896,0.16686,0.14787,0.15219,942430.9733870851,6192463.19329184
1608768000000,2020-12-24 00:00:00,XLM/USD,0.12613,0.1668,0.12304,0.15854,4556726.037443391,28741806.72034434
1608681600000,2020-12-23 00:00:00,XLM/USD,0.16178,0.16178,0.10942,0.12682,5578736.565699691,43989406.76312641
1608595200000,2020-12-22 00:00:00,XLM/USD,0.16558,0.16965,0.15276,0.16163,734852.4388929645,4546510.17071685
1608508800000,2020-12-21 00:00:00,XLM/USD,0.17575,0.17988,0.1598,0.16539,739689.1365929559,4472393.35263895
1608422400000,2020-12-20 00:00:00,XLM/USD,0.18127,0.18207,0.1735,0.17628,524494.8081372567,2975350.62478589
1608336000000,2020-12-19 00:00:00,XLM/USD,0.18528,0.1878,0.17936,0.18147,353220.3147483848,1946439.16211156
1608249600000,2020-12-18 00:00:00,XLM/USD,0.1865,0.18936,0.177,0.18511,492942.62010069477,2662971.3148976
1608163200000,2020-12-17 00:00:00,XLM/USD,0.19313,0.20828,0.17876,0.18623,2058698.3511012818,11054601.03689675
1608076800000,2020-12-16 00:00:00,XLM/USD,0.166,0.19447,0.1597,0.19313,1420757.5804078556,7356483.09640064
1607990400000,2020-12-15 00:00:00,XLM/USD,0.17112,0.17661,0.16493,0.16666,332177.17771757825,1993142.79201715
1607904000000,2020-12-14 00:00:00,XLM/USD,0.17612,0.17845,0.16684,0.16997,379785.0349004424,2234423.92716622
1607817600000,2020-12-13 00:00:00,XLM/USD,0.15958,0.17988,0.15574,0.17617,1526762.438900677,8666415.61503478
1607731200000,2020-12-12 00:00:00,XLM/USD,0.15048,0.16534,0.15048,0.15896,727696.2416315048,4577857.58449613
1607644800000,2020-12-11 00:00:00,XLM/USD,0.16089,0.1648,0.15036,0.15036,694849.0003868906,4621235.7035574
1607558400000,2020-12-10 00:00:00,XLM/USD,0.1723,0.17755,0.16035,0.16066,854658.9157054643,5319674.56557615
1607472000000,2020-12-09 00:00:00,XLM/USD,0.15235,0.175,0.1396,0.17194,1958882.121380377,11392823.78376397
1607385600000,2020-12-08 00:00:00,XLM/USD,0.1683,0.16862,0.14949,0.15264,616042.3109369029,4035916.60729103
1607299200000,2020-12-07 00:00:00,XLM/USD,0.17654,0.17654,0.16473,0.16831,378156.62792694476,2246786.45313377
1607212800000,2020-12-06 00:00:00,XLM/USD,0.17181,0.18003,0.16703,0.17602,608352.7899096389,3456157.19753232
1607126400000,2020-12-05 00:00:00,XLM/USD,0.16165,0.17609,0.15895,0.17148,448856.44547327113,2617544.0020601302
1607040000000,2020-12-04 00:00:00,XLM/USD,0.184,0.18868,0.15966,0.16175,934291.0579339348,5776142.55291459
1606953600000,2020-12-03 00:00:00,XLM/USD,0.18509,0.19007,0.17983,0.18453,389175.76146213117,2109010.79207788
1606867200000,2020-12-02 00:00:00,XLM/USD,0.18399,0.1884,0.17784,0.18514,594068.788934794,3208754.39632059
1606780800000,2020-12-01 00:00:00,XLM/USD,0.20294,0.20444,0.173,0.18427,1545756.869744702,8388543.27749879
1606694400000,2020-11-30 00:00:00,XLM/USD,0.19436,0.20658,0.18949,0.20276,1851420.7605248566,9131094.69582194
1606608000000,2020-11-29 00:00:00,XLM/USD,0.20034,0.20302,0.18866,0.19448,1427944.149593156,7342370.16450615
1606521600000,2020-11-28 00:00:00,XLM/USD,0.20791,0.22091,0.19489,0.20031,3066064.826369936,15306598.90354918
1606435200000,2020-11-27 00:00:00,XLM/USD,0.16933,0.20849,0.16351,0.20701,4650514.762678144,22465169.61827034
1606348800000,2020-11-26 00:00:00,XLM/USD,0.1929,0.20494,0.146,0.16843,8854952.36980046,52573486.72920774
1606262400000,2020-11-25 00:00:00,XLM/USD,0.19522,0.23142,0.18147,0.19328,9087721.567094702,47018426.9820711
1606176000000,2020-11-24 00:00:00,XLM/USD,0.13241,0.19821,0.13087,0.19525,12033742.229626818,61632482.61012454
