https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1602979200000,2020-10-18 00:00:00,BTC/USD,11376.0,11520.0,11364.93369218,11518.0,15225419.038188579,1321.88045131
1602892800000,2020-10-17 00:00:00,BTC/USD,11324.8837331,11418.0,11275.0,11375.0,11803763.599582499,1037.69350326
1602806400000,2020-10-16 00:00:00,BTC/USD,11511.9497064,11547.0,11212.0,11325.0,39206265.9082125,3461.9219345
1602720000000,2020-10-15 00:00:00,BTC/USD,11440.0,11632.0,11277.0,11509.0,49074221.94386361,4263.98661429
1602633600000,2020-10-14 00:00:00,BTC/USD,11442.72553612,11564.0,11309.0,11440.0,30808561.5053216,2693.05607564
1602547200000,2020-10-13 00:00:00,BTC/USD,11560.0,11574.90850243,11333.0,11442.0,44683544.24590134,3905.22148627
1602460800000,2020-10-12 00:00:00,BTC/USD,11384.0,11739.97398,11111.0,11560.0,73615763.3754076,6368.14562071
1602374400000,2020-10-11 00:00:00,BTC/USD,11308.0,11451.0,11279.45650736,11385.0,16829704.208988,1478.2348888
1602288000000,2020-10-10 00:00:00,BTC/USD,11071.0,11505.0,11071.0,11308.0,47139556.52497916,4168.69088477
1602201600000,2020-10-09 00:00:00,BTC/USD,10942.901982,11133.99746703,10853.1165156,11071.0,28453223.0870614,2570.0680234
1602115200000,2020-10-08 00:00:00,BTC/USD,10687.32291769,10971.0,10541.0,10943.0,39846116.24273461,3641.24246027
1602028800000,2020-10-07 00:00:00,BTC/USD,10613.0,10691.0,10563.0,10687.0,17846424.718816012,1669.91903423
1601942400000,2020-10-06 00:00:00,BTC/USD,10807.0,10819.959108,10548.0,10613.705256,34167305.372290924,3219.16847587
1601856000000,2020-10-05 00:00:00,BTC/USD,10687.0,10816.0,10637.0,10807.0,19274063.24212901,1783.47952643
1601769600000,2020-10-04 00:00:00,BTC/USD,10558.00112605,10713.0,10541.0,10687.0,17407571.33662271,1628.85480833
